"","x"
"1",NA
"2",-0.0642626243087113
"3",0.0820564855505709
"4",-0.0385872727848399
"5",-0.0272888012274116
"6",0.00514024264109273
"7",-0.0617892306977205
"8",0.111835163925067
"9",-0.0634197701934564
"10",0.018021875237855
"11",0.0034778241111723
"12",-0.0214025259172267
"13",-0.0185171311084258
"14",0.0245136742823458
"15",-0.0468401353172579
"16",0.0392026072685852
"17",0.00280942683374913
"18",-0.0429580235680063
"19",0.0454551692921233
"20",0.06131535795347
"21",-0.0735877001951175
"22",0.0533458660180617
"23",-0.0434860873148408
"24",-0.0395406083496794
"25",0.0508274414171057
"26",-0.0786610649937163
"27",0.0285214473440738
"28",0.106428539716485
"29",-0.0755386809344514
"30",-0.0262986170163389
"31",-0.0238917767792777
"32",0.0358139716405187
"33",0.0963834649169956
"34",-0.0471118733380121
"35",-0.0283610108180053
"36",-0.0321203584520876
"37",0.0765045428553917
"38",-0.036290362139667
"39",0.0107190293814769
"40",-0.0380103638049419
"41",0.0091378731653624
"42",0.0205825532363019
"43",0.0287443332557413
"44",-0.0237766276138984
"45",0.0173033500764863
"46",-0.0087690672903963
"47",0.0154871202871925
"48",-0.0425226918235774
"49",0.034286707169682
"50",-0.0301444640561808
"51",0.0291207000411827
"52",-0.0101540634441181
"53",-0.00828991661112216
"54",-6.89908732454201e-05
"55",0.0396798054625275
"56",-0.0979194816537768
"57",0.0458508497581048
"58",0.0181185020764186
"59",-0.0303157112549661
"60",-0.0139867145300878
"61",0.051684576355662
"62",-0.0381286641443263
"63",0.0246082052891698
"64",-0.0959339178767081
"65",0.0969823106831346
"66",-0.0746105773441029
"67",0.141693457416105
"68",-0.0538559924674574
"69",-0.0180112730742416
"70",0.0229204729784821
